Name,Team,Age,GP,MPG,FTA,PPG,RPG,APG,SPG,BPG
"Ron,Artest",Lal,31,30,77,105,0.484,0.514,11,3,7.6
"Rodrigue,Beaubois",Dal,21,21,56,106.8,0.594,0.617,7.1,1.3,2.8
"Ronnie,Brewer",Uta,23,24,53,106.3,0.505,0.53,9.5,2.8,6.7
"Rasual,Butler",Lac,25,30,82,114,0.493,0.524,11.9,1.4,5.1
"Rodney,Carney",Phi,24,25,68,110.8,0.473,0.515,4.7,0.5,2.3
"Ricky,Davis",Lac,31,30,36,113.3,0.49,0.504,4.4,1.1,2.9
"Reggie,Evans",Tor,26,29,28,107.6,0.493,0.498,3.4,0.3,2.3
"Raymond,Felton",Cha,28,25,80,102.4,0.494,0.525,12.1,5.6,8.7
"Rudy,Fernandez",Por,29,24,62,107,0.494,0.54,8.1,2,4.9
"Randy,Foye",Was,25,26,70,114,0.465,0.516,10.1,3.3,5.3
"Rudy,Gay",Mem,30,23,80,109.7,0.491,0.535,19.6,1.9,7.6
"Ryan,Gomes",Min,26,27,76,113.2,0.497,0.528,10.9,1.6,6
"Richard,Hamilton",Det,25,31,46,116.3,0.437,0.505,18.1,4.4,7.4
"Roy,Hibbert",Ind,23,23,81,107,0.497,0.537,11.7,2,6.6
"Ryan,Hollins",Min,23,25,73,113.4,0.558,0.6,6.1,0.7,3.2
"Royal,Ivey",Phi,29,28,26,111.5,0.582,0.603,2.7,0.7,1.8
"Richard,Jefferson",San,27,29,81,106.4,0.505,0.55,12.2,2,6.5
"Rashard,Levis",Orl,27,30,72,103.8,0.539,0.573,14.1,1.5,6
"Robin,Lopez",Pho,26,21,51,110,0.586,0.62,8.4,0.1,2.1
"Roger,Mason,Jr.",San,22,29,79,107.2,0.478,0.49,6.3,1.7,4.1
"Ronald,Murray",Chi,30,30,29,107.9,0.449,0.487,10.1,1.7,4.9
"Ronald,Murray",Cha,28,30,46,104.3,0.439,0.484,9.8,1.8,4.3
"Rasho,Nesterovic",Tor,26,33,42,112.1,0.544,0.539,3.9,0.6,2.3
"Ronnie,Price",Uta,25,26,60,106.5,0.442,0.476,4.3,2.1,3.2
"Rajon,Rondo",Bos,22,23,81,103.5,0.517,0.54,13.7,9.8,11.6
"Ramon,Sessions",Min,33,23,82,113.9,0.457,0.513,8.2,3.2,5.6
"Rodney,Stuckey",Det,26,23,73,112.8,0.413,0.479,16.6,4.8,8.5
"Ronny,Turiaf",Gol,26,27,42,110.8,0.582,0.574,4.9,2.1,5.8
"Rasheed,Wallace",Bos,33,35,79,100.9,0.472,0.504,9,1,4.5
"Russell,Westbrook",Okc,26,21,82,105.9,0.428,0.491,16.1,8,11
"Reggie,Williams",Gol,28,23,24,114.7,0.553,0.588,15.2,2.8,7.5
"Shane,Battier",Hou,21,31,67,108.4,0.511,0.541,8,2.4,7.1
"Steve,Blake",Lac,27,29,29,113.2,0.557,0.569,6.8,6.1,7.3
"Steve,Blake",Por,23,29,51,109.8,0.513,0.526,7.6,4,6.3
"Shannon,Brown",Lal,23,24,82,105.1,0.48,0.517,8.1,1.3,3.9
"Stephen,Curry",Gol,33,21,80,112.6,0.534,0.568,17.4,5.9,9.7
"Samuel,Dalembert",Phi,33,28,82,104.8,0.545,0.573,8.1,0.8,5.8
"Stephen,Graham",Cha,31,27,69,102.6,0.529,0.551,4.3,0.3,1.9
"Spencer,Hawes",Sac,37,21,72,109.8,0.488,0.507,10,2.2,7.1
"Serge,Ibaka",Okc,28,20,73,101,0.545,0.562,6.3,0.1,2.1
"Stephen,Jackson",Gol,25,31,9,112.9,0.462,0.499,16.6,4.7,8.5
"Stephen,Jackson",Cha,28,31,72,102.2,0.469,0.52,21.1,3.6,9
"Solomon,Jones",Ind,26,25,52,106.7,0.443,0.499,4,0.6,2.8
"Shaun,Livingston",Was,31,24,26,113.7,0.535,0.582,9.2,4.4,6.3
"Shaun,Livingston",Okc,24,24,10,104.6,0.313,0.313,1,1.3,3.2
"Shawn,Marion",Dal,24,31,75,106.7,0.51,0.535,12,1.4,6.6
"Sean,May",Sac,24,25,37,108.7,0.459,0.492,3.3,0.5,2
"Steve,Nash",Pho,27,35,81,114.2,0.57,0.615,16.5,11,10.6
"Shaquille,O'Neal",Cle,23,37,53,101.7,0.566,0.565,12,1.5,6.2
"Sasha,Pavlovic",Min,26,26,71,113.3,0.422,0.422,3.7,0.8,2.5
"Sergio,Rodriguez",Nyk,35,23,27,113.9,0.543,0.573,7.4,3.4,4.5
"Sergio,Rodriguez",Sac,25,23,39,110.4,0.508,0.543,6.1,3.1,3.8
"Sebastian,Telfair",Lac,19,24,39,112.3,0.437,0.47,4.3,2.9,3.6
"Sasha,Vujacic",Lal,25,25,67,105.3,0.479,0.518,2.8,0.6,1.8
"Sonny,Weems",Tor,29,23,69,113.8,0.517,0.533,7.5,1.5,4.4
"Sean,Williams",Njn,35,23,20,106.8,0.429,0.453,2.6,0.1,1.4
"Shelden,Williams",Bos,29,26,54,103.4,0.521,0.612,3.7,0.4,2.3
"Sam,Young",Mem,32,24,80,111.6,0.462,0.518,7.4,0.7,3.1
"Tony,Allen",Bos,27,27,54,101.3,0.51,0.54,6.1,1.3,3.9
"Trevor,Ariza",Hou,26,24,72,106.5,0.462,0.488,14.9,3.8,9.2
"Tony,Battie",Njn,23,33,15,110.3,0.372,0.415,2.4,0.2,1.4
"Tyson,Chandler",Cha,20,27,51,100.5,0.574,0.643,6.5,0.3,3.5
"Toney,Douglas",Nyk,31,23,56,113.9,0.544,0.571,8.5,2,4.2
"Tim,Duncan",San,24,33,78,101,0.519,0.56,17.9,3.2,10
"Tyreke,Evans",Sac,25,20,72,110.3,0.473,0.529,20.1,5.7,10.4
"T.J.,Ford",Ind,22,26,47,109.5,0.455,0.507,10.3,3.8,6.7
"Taj,Gibson",Chi,25,24,82,103.6,0.495,0.521,9,0.9,5.6
"Tyler,Hansbrough",Ind,29,24,29,107.2,0.36,0.448,8.5,1,4.4
"Trenton,Hassell",Njn,31,30,52,114.4,0.413,0.467,4.5,1,3.9
"Ty,Lawson",Den,35,22,65,110.4,0.559,0.6,8.3,3.1,4.9
"Tracy,McGrady",Nyk,30,30,24,113.2,0.424,0.469,9.4,3.9,7.2
"Troy,Murphy",Ind,26,29,72,104.2,0.551,0.585,14.6,2.1,8.9
"Travis,Outlaw",Lac,29,25,23,111.7,0.478,0.512,8.7,1.1,4.4
"Travis,Outlaw",Por,24,25,11,106.2,0.436,0.489,9.9,0.7,3.7
"Tony,Parker",San,24,27,56,108.6,0.494,0.542,16,5.7,7.5
"Tayshaun,Prince",Det,25,29,49,114,0.509,0.53,13.5,3.3,8.3
"Theo,Ratliff",Cha,29,36,28,101.5,0.466,0.528,5.1,0.6,3.8
"Theo,Ratliff",San,30,36,21,100.5,0.444,0.45,1.6,0.4,1.9
"Thabo,Sefolosha",Okc,20,25,82,103.9,0.485,0.508,6,1.8,6.2
"Tim,Thomas",Dal,30,32,18,108,0.538,0.579,7.5,0.8,3.1
"Tyrus,Thomas",Cha,27,23,25,95.3,0.442,0.499,10.1,0.9,4.9
"Tyrus,Thomas",Chi,26,23,29,97,0.483,0.523,8.8,1.1,5.4
"Terrence,Williams",Njn,35,22,78,110.8,0.424,0.459,8.4,2.9,6.6
"Thaddeus,Young",Phi,25,21,67,111.9,0.499,0.523,13.8,1.4,6.1
"Udonis,Haslem",Mia,19,29,78,104.6,0.494,0.538,9.9,0.7,5.4
"Vince,Carter",Orl,25,33,75,105,0.486,0.541,16.6,3.1,7.2
"Vladimir,Radmanovic",Gol,29,28,33,113.2,0.435,0.452,6.6,1.2,5
"Will,Bynum",Det,35,27,63,114.2,0.455,0.513,10,4.5,6.5
"Wilson,Chandler",Nyk,29,22,65,113.4,0.502,0.534,15.3,2.1,7.4
"Wayne,Ellington",Min,32,22,76,115.9,0.496,0.527,6.6,1,3.4
"Willie,Green",Phi,27,28,73,114.9,0.5,0.538,8.7,2.1,4.3
"Wesley,Matthews",Uta,26,23,82,108.9,0.539,0.592,9.4,1.5,4.4
"Yi,Jianlian",Njn,23,22,52,110,0.417,0.481,12,0.9,5.9
"Zydrunas,Ilgauskas",Cle,20,34,64,103.9,0.455,0.491,7.4,0.8,4.5
"Zaza,Pachulia",Atl,31,25,78,104.6,0.488,0.539,4.3,0.5,3
"Zach,Randolph",Mem,24,28,81,108.5,0.494,0.546,20.8,1.8,9.2
