Name,Team,Age,GP,MPG,FTA,PPG,RPG,APG,SPG,BPG
"Carl,Landry",Sac,31,26,28,112,0.521,0.568,18,0.9,6
"Carl,Landry",Hou,24,26,52,108.7,0.547,0.621,16.1,0.8,4.9
"Courtney,Lee",Njn,31,24,71,112,0.485,0.525,12.5,1.7,5.9
"Corey,Maggette",Gol,23,30,70,114.5,0.522,0.613,19.6,2.4,7.1
"Cartier,Martin",Gol,31,25,10,115,0.42,0.463,9,0.9,4.8
"C.J.,Miles",Uta,25,22,63,107.1,0.495,0.515,9.9,1.7,4.8
"Chris,Paul",Nor,24,24,45,109.5,0.534,0.584,18.7,10.7,11.9
"Chris,Quinn",Njn,21,26,25,112.5,0.446,0.477,2.2,1.2,1.9
"Chris,Richard",Chi,23,25,18,103.1,0.517,0.547,2.1,0.4,2.5
"Craig,Smith",Lac,28,26,75,109.8,0.571,0.599,7.8,1.1,4.1
"Charlie,Villanueva",Det,24,25,78,110.4,0.499,0.526,11.9,0.7,4.3
"C.J.,Watson",Gol,26,25,65,113.1,0.51,0.555,10.3,2.8,5.8
"Chris,Wilcox",Det,24,27,34,109.9,0.525,0.532,4.5,0.4,2.6
"David,Andersen",Hou,28,29,63,108.2,0.472,0.497,5.8,0.7,3.2
"Darrell,Arthur",Mem,31,21,32,108.2,0.432,0.449,4.5,0.5,2.9
"D.J.,Augustin",Mem,23,22,80,112.9,0.468,0.517,6.4,2.4,3.7
"DeJuan,Blair",San,22,20,82,100.8,0.556,0.564,7.8,0.8,4.5
"Derrick,Brown",Cha,28,22,57,102.4,0.469,0.52,3.3,0.3,1.6
"Devin,Brown",Nor,22,30,39,112.8,0.477,0.522,9.7,1.5,4.7
"Devin,Brown",Chi,21,30,11,105.6,0.278,0.278,1.8,0.6,1.9
"DeMarre,Carroll",Mem,25,23,71,109.8,0.396,0.426,2.9,0.5,2.3
"Darren,Collison",Nor,37,22,76,112.8,0.506,0.546,12.4,5.7,7.3
"Daequan,Cook",Mia,37,22,45,107.4,0.399,0.422,5,1,3
"Dante,Cunningham",Por,27,22,63,104.3,0.495,0.517,3.9,0.2,1.8
"DeMar,DeRozan",Tor,24,20,77,115.1,0.503,0.555,8.6,0.7,3.5
"DeSagana,Diop",Cha,20,27,27,100.3,0.517,0.485,1.2,0.2,1.7
"Derek,Fisher",Lal,23,35,82,106,0.45,0.499,7.5,2.5,5.2
"Dan,Gadzuric",Mil,20,31,32,101.5,0.443,0.444,2.8,0.4,2.2
"Danilo,Gallinari",Nyk,29,21,81,112.3,0.524,0.575,15.1,1.7,6.5
"Devean,George",Gol,30,32,45,111.5,0.549,0.561,5.3,0.7,3
"Daniel,Gibson",Cle,22,23,56,108,0.599,0.613,6.3,1.3,3.2
"Drew,Gooden",Lac,28,28,24,109.9,0.492,0.572,14.8,0.9,6.3
"Drew,Gooden",Dal,33,28,46,103.7,0.469,0.528,8.9,0.6,4.5
"Danny,Granger",Ind,26,26,62,107.3,0.498,0.564,24.1,2.8,8.3
"Donte,Greene",Sac,23,21,76,110.9,0.505,0.527,8.5,0.9,3.9
"Devin,Harris",Njn,23,26,64,112.4,0.437,0.512,16.9,6.6,9
"Dwight,Howard",Orl,26,24,82,95.3,0.612,0.63,18.3,1.8,9.4
"Dahntay,Jones",Ind,30,29,76,110.2,0.464,0.527,10.2,2,5.3
"DeAndre,Jordan",Lac,26,21,70,107.8,0.605,0.571,4.8,0.3,2.9
"David,Lee",Nyk,30,26,81,108.8,0.545,0.584,20.2,3.6,11.6
